"Ligand_ID","SMILES","Clusters"
"VECAFUPTACHURT-YQSNPDSASA-N","CSCC[C@@H](C(=O)O)NC(=O)[C@H]([C@H](O)C)NC(=O)[C@@H](NC(=O)[C@H]([C@H](CC)C)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)N)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CN)CC(C)C)CCC(=O)N)CCCNC(=N)N)CC(C)C)CCCNC(=N)N)CC(C)C)CC(C)C)CCC(=O)N)C)CO)Cc1[nH]cnc1)C)C)CC(C)C",1
"YDMVALDGYNDICQ-MQBSTWLZSA-N","OC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)CCCN=C(N)N)C)CC(C)C)Cc1ccccc1)N",1
"NZQNAWMWYLJVEQ-ZZTWKDBPSA-N","CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)Cc1ccccc1)CCCN=C(N)N)Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CN",1
"TZPFQAJPQIKRTJ-NPPKLKBASA-N","CC[C@@H]([C@@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H]([C@H](CC)C)C(=O)N)Cc1ccc(c(c1)Cl)Cl)CCCN=C(N)N)NC(=O)[C@@H](NC(=O)[C@H](CO)N)CC(C)C)C",1
"JOBPTSBRHGMVFL-SJMOYVGOSA-N","CC[C@@H]([C@@H]1NC(=O)[C@@H](NC(=O)CCSSC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC1=O)CCC(=O)N)CC(=O)N)C(=O)N(CC(=O)N[C@H](C(=O)NCC(=O)N)CC(C)C)CCc1ccccn1)Cc1ccc(cc1)O)C",1
"XWWFJVYCOLFCPK-VKTLHNBESA-N","NCCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)CCCCN)CC(=O)N)CCCCN)C(C)C)CCCN=C(N)N)CCC(=O)N)CCCCN)Cc1ccc(cc1)O)CCCN=C(N)N)CCCCN)CC(C)C)C(C)C)C)C)CC(C)C)Cc1ccc(cc1)O)CCCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]([C@H](O)C)NC(=O)[C@@H](NC(=O)[C@H]([C@H](CC)C)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)[C@H](Cc1[nH]cnc1)N)O)CC(=O)O)Cc1ccccc1)CC(=O)O)CO)Cc1ccc(cc1)O)CO)CCCN=C(N)N)Cc1ccc(cc1)O)CCCN=C(N)N)CCCCN)CCC(=O)N)CCSC)C",1
"XHJGHJGQNIFKTO-WNZMCKAXSA-N","CCCC[C@@H](C(=O)N[C@H]1CCC(=O)NC[C@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC1=O)Cc1[nH]cnc1)Cc1ccccc1)CCCN=C(N)N)C(=O)N[C@H](C(=O)O)Cc1c[nH]c2c1cccc2)NC(=O)C",1
"IXUHQJPJNUMHQP-XQAUZQBESA-N","CC[C@@H]([C@@H](c1occ(n1)C(=O)N[C@H](C(=O)O)CCCN=C(N)N)NC(=O)Cc1c[nH]c2c1cccc2)C",1
"YZXVMOOMKNHPNU-IPHVNIDGSA-N","CN=C(NCCC[C@@H](C(=O)N[C@H](C(=O)N)Cc1ccccc1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2c1cccc2)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(cc1)O)N)CC(=O)N)CC(=O)N)CO)Cc1ccccc1)CC(C)C)N",1
"HIPNAYFBTPFCTB-DHTODDSISA-N","OCCCN(C(=O)[C@@H]1CCSCCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CC(=O)N)CCC(=O)N)[C@H](CC)C)CC(=O)N[C@H](C(=O)NCC(=O)N)CC(C)C",1
